Review,Sentiments,Aspects,Aspects With Value,Extra Tag
the customer service dept did not list a toll free number and it was a real hassle to get through on their regular line ,negative,service,service[-3],
i would not be inclined to purchase an apex product again ,negative,apex,apex[-3],
door broke after a month ,negative,door,door[-2],
unit took forever since the begiining to recognize and play discs ,negative,unit,unit[-3],
3 months of use and it no longer recognizes anything ,negative,player,player[-2],[p]
well  it was nice while it lasted ,positive,player,player[+1],
after  3 months  it stoppped playing higher number scenes on dvds ,negative,player,player[-2],
as an engineer  i am embarrassed for the engineering profession when such crap is released for sale ,negative,player,player[-3],[u]
only used for 3 month before it s down ,negative,player,player[-3],[p]
it sends discoutinous signals to tv  so the tv has the pictures for one moment and has only the white noise for the other moment ,negative,picture,picture[-2],
the other thing i do nt like about this 2600 is that it makes the color look over saturated ,negative,color,color[-2],
the entire unit was poorly crafted ,negative,unit,unit[-2],[u]
there were sharp screw tips on the underside of the unit coming from inside that were obviously used to anchor the internal control board ,negative,tip,tip[-2],
after hooking the thing up  i found that it would only played less than 50  of the dvds i put in it ,negative,"dvd, play","dvd[-2], play[-2]",
the dvd player just wouldt recognize them ,negative,player,player[-2],
it would spin  read  spin some more and then show on the display that there was no disc ,negative,disc,disc[-2],
this dvd player plays raw mpeg2 and mpeg1 videos  jpeg  wma  cdr  cdrw  dvdr  dvdrw  and of course plays dvd movies from uk i love the aiff  progressive scan feature ,positive,"format, scan","format[+2], scan[+2]",[u]
i have not even used my new dvd player and already i am disapointed ,negative,player,player[-3],
they will not respond to my emails  promised turnaround time is 24 hours  and the phone line is constantly busy ,negative,service,service[-3],
because of it s hidden features  no macrovision  nonregional  i keep this baby around to watch nonamerican region dvd s ,positive,feature,feature[+2],
the cool thing about the ad2600 it plays alot of different file like mp3  wma cds  jpeg and kodak picture cds  dvd s  dvd    r s ,positive,"play, file","play[+2], file[+2]",
it s not a listed feature but  the one thing that sold the unit is that it plays mpeg video ,positive,"play, mpeg","play[+2], mpeg[+2]",
i find this to be a great feature ,positive,mpeg,mpeg[+2],[p]
i ve tried playing all of these discs and they all play great ,positive,play,play[+2],[p]
for the money apex machines have good features ,positive,feature,feature[+2],
it s low profile  space saving design looks nice ,positive,design,design[+2],
i find the apex ad2600 to be a great buy ,positive,player,player[+2],[u]
now i know why  they are pieces of junk ,negative,player,player[-3],[p]
less than a month later the screen freezes and eventually shows  no disc  ,negative,"disc, screen","disc[-2], screen[-3]",[u]
same story as everybody else when trying to get service from apex  nothing ,negative,service,service[-3],
i was surprised to find that not only could this dvd player play mpeg2 format which allowed me to stack 2 movies on a dvd  but it also was able to play vob files which i created with smart ripper ,positive,format,format[+2],
the aff feature did a great job converting the letterbox to fill 34 of the screen and the image still looked normal ,positive,aff,aff[+2],
loved the slim design ,positive,design,design[+2],
this unit was working fine for the 1st month and a half and then the color signal disappeared ,negative,signal,signal[-2],
apex has still not responded to my email describing the problem after almost a week and their customer service line is always busy ,negative,service,service[-2],
audio is excellent ,positive,audio,audio[+2],
i am very pleased with the apex ad2600it plays just about anything you put in the drawer ,positive,"player, format","player[+3], format[+2]",
but  it seems to work so well now  that i do nt anticipate any problems with it ,positive,player,player[+2],[p]
simple to use and hook up ,positive,player,player[+2],[u]
the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used ,positive,"scan, remote","scan[+2], remote[+3]",
this dvd play is basicly junk ,negative,player,player[-3],
it wo nt play all of my movies ,negative,play,play[-3],[p]
i tried called apex cust service  no help ,negative,service,service[-2],
mine was 2 weeks old and i chucked it in the trash  where it belongs ,negative,player,player[-3],[p]
each of the 4 lasted less than six months ,negative,player,player[-2],[p]
this is the best dvd player i ve purchased ,positive,player,player[+3],
this player has worked flawlessly for me and at this price  you can t go wrong ,positive,player,player[+3],
i have sent my ad2600 back to apex because it wo nt play certain disney and other dvd movies  no disc message  ,negative,"play, dvd, disc","play[-2], dvd[-2], disc[-2]",
well  this apex dvd player turned out great ,positive,player,player[+2],
it plays basically every media i ve tested so far  even an old vcd that i ripped years ago and the rental dvd that could nt be played on my old  200 sharp player ,positive,media,media[+2],[u]
i have to say i m also pretty impressed by the user interface for playing jpeg  mp3 and mpeg files stored on cdrs  dvds ,positive,interface,interface[+2],
i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive highend player ,positive,player,player[+2],
and the slim formfactor together with the mirrorlike front panel sure makes the player look cool and pricey ,positive,"look, panel","look[+2], panel[+2]",[u]
one bad thing though  i find the remotecontrol a bit flimsy and i predict it will most probably  die  before the player does ,negative,control,control[-2],
finally  amazon s free shipping is really getting good  it took only 3 working days for the player to reach me ,positive,shipping,shipping[+2],
i purchased two of these players for christmas gifts  and both were bad ,negative,player,player[-3],
the first one would nt work from the start ,negative,player,player[-3],
the second lasted about two weeks before the video went out ,negative,player,player[-2],
i have tried several times to contact apex digital through their online support site and their telephone line  but they wo nt answer my emails and their telephone line is always busy ,negative,support,support[-3],[u]
for the most part this is a good dvd player ,positive,player,player[+1],
but about 25  of dvd s i ve played on ithave a problem  when watching a movie the picture will freeze  but the dvd still plays  and eventualy the picture kicks back in after skipping a few moments ,negative,"dvd, picture, play","dvd[-2], picture[-2], play[-2]",
we have had this product for over a month and yesterday it stopped working ,negative,product,product[-3],[u]
there was neither picture nor sound ,negative,"picture, sound","picture[-2], sound[-2]",
we are overall pleased with product ,positive,product,product[+2],
i would have rated it five stars but for the poor manual ,negative,manual,manual[-1],
it worked from 1226 to 19 at which time the picture failed completely  see other negative reviewsmy unit was nt the only one this happened to  ,negative,picture,picture[-3],
i tried calling the support number for a week  several times a day  and always got a busy signal ,negative,support,support[-3],
neither message was answered  they ask for 24 hours before replying  i ve been waiting 27 days  ,negative,support,support[-3],
it only read the dvds 10  of the time  otherwise i would get a no disc screen ,negative,"dvd, read, disc","dvd[-2], read[-2], disc[-2]",
progressive scan player for a relatively low price  although the better known manufacturers like toshiba  pioneer  and panasonic are now offering lowerpriced progressive scan players as well  ,positive,"player, price","player[+2], price[+2]",
seems to read most dvds fine  and reads quietly  i had a pioneer player that had fairly loud disc spin noise  ,positive,"dvd, sound","dvd[+2], sound[+2]",
also  i have not had trouble reading svcds that i created and vbr mp3 cds  my old apex ad1200 had trouble with these  ,positive,"read, svcd, cd","read[+2], svcd[+2], cd[+2]",
output through component connections looks very good  on my nonhd tv ,positive,output,output[+3],
i ve had this player for several months and it reads most discs  but it would not recognize several discs that were clean and read on other players  from friends season 2  ,negative,"disc, recognize","disc[-1], recognize[-2]",
it would just spin up and stop  and display  no disc  ,negative,disc,disc[-2],
my other gripe is the incredibly crappy remote  which is worse than other  cheaper apex units ,negative,remote,remote[-3],
you have to press the buttons hard and frequently i end up pressing enter when i meant to scroll ,negative,button,button[-3],
also  for some reason the picture looks washed out on svideo  with lots of color bleeding  compared to a component connection  should not be much of a perceptible difference on a 27  tv ,negative,video,video[-2],
i checked out the amazon reviews and i m pleased to say mine worked  works  fine right out of the box ,positive,player,player[+2],[p]
i like the auto fit feature  you can stretch widescreen dvd s to normal ,positive,fit,fit[+2],
looks ok  very shiny chrome and mirrors ,positive,look,look[+2],[u]
and the remote is cheap and cheasy  not sure how long it ll last  but for 50 bucks what the heck ,negative,remote,remote[-3],
this thing plays everything i feed it ,positive,play,play[+2],[p]
when i 1st tried it i found that it had no problem playing the more expensive dvd  r media disc s that other players would play but to my surprise was able to play cheep media that i had burned that i could nt get to work before in anything but the dvd burner itself that i had made the disc with ,positive,format,format[+2],[u]
easy to use  small form factor  and looks good to boot ,positive,"use, size, look","use[+2], size[+2], look[+2]",
after about an hour it starts skipping like the dvd s are dirty ,negative,player,player[-3],[p]
i have ice age and it keeps telling me no disc ,negative,disc,disc[-2],
i tried emailing apex and they come back saying undeliverable ,negative,service,service[-3],[u]
i ve tried leaving questions on their site never to have them answered ,negative,service,service[-3],[u]
it has never worked ,negative,player,player[-3],[p]
i ve attempted to connect this unit to several different tvs  using a multitude of connection methods  and i still can t get a video signal from the machine ,negative,player,player[-3],
purchased the ad2600 about a month ago and have had numerous problems with it ,negative,player,player[-3],[u]
the most recent is that it will stop responding to the onoff button ,negative,button,button[-2],
they claim to respond in a 24 hour period yet it s been 2 weeks without a reply ,negative,service,service[-3],[u]
i ve sent 10 emails to their customer service department requesting an ra with no response ,negative,service,service[-3],
34 way through the first disk we played on it  naturally on 31 days after purchase  the dvd player froze ,negative,player,player[-3],
now it will not load any disk or just says that there is no disk ,negative,player,player[-2],
have tried to contact apex via email  customerserviceapexdigitalcom   but the email address is not valid ,negative,service,service[-3],[u]
have tried calling  8664apexgo   but can t get through ,negative,service,service[-3],[u]
this product sucks  the customer service from apex sucks ,negative,"player, service","player[-3], service[-3]",[u]
after using it for just a month  i could not play any dvd ,negative,play,play[-3],
i can only hear the sound but no picture ,negative,picture,picture[-2],
their customer  wwwapexdigitalinccom  service is very poor ,negative,service,service[-3],
one of the dvd s i received as a christmas present kept freezing ,negative,dvd,dvd[-3],
some dvd s i rented would not play ,negative,dvd,dvd[-3],
when the player was working it was great but ,negative,player,player[-2],
it does nt smell like burning plastic when you open the drive ,positive,smell,smell[+1],
without a doubt the finest looking apex dvd player that i ve seen ,positive,look,look[+2],
excellent picture quality  on par with my pioneer  panasonic  and jvc players ,positive,quality,quality[+3],
remote  you can stand it on end  harder to lose   and it s far better designed than the 1100s ,positive,remote,remote[+2],
first of all  i bought this dvd as a christmas present for my girlfriend and i am somewhat disappointed ,negative,dvd,dvd[-2],
unlike some of the other people who received a  lemon   my dvd player came in perfect working condition ,positive,player,player[+2],
as a whole  the dvd player has a sleek design and works fine ,positive,"design, player","design[+2], player[+2]",
what disappointed me is the fact that it does not seem to read certain dvds ,negative,dvd,dvd[-2],
for example  i tried playing my new  pirates of the carribean  extra features dvd  but this dvd player can not read it ,negative,read,read[-2],
at first i thought it is only a isolated incident  but i was proven wrong when the player would not read my  alias  dvds as well ,negative,"read, dvd","read[-2], dvd[-2]",
this player seems to work fine with everything else ,positive,player,player[+1],
because of this  i am disappointed and would not recommend this product ,negative,player,player[-2],[u]
it s running great for all the dvds i have and rented ,positive,"run, dvd","run[+2], dvd[+2]",
 dvd apex ad2600 runs all the dvd media including dvd  rrw and dvdr  rw  unlike sony or panasonic  one supports only  rrw and another supports  rrw  ,positive,"run, media","run[+3], media[+2]",
i think  apex is the best dvd player you can get for the price ,positive,player,player[+3],
most of them are already switched to apex and they are happy ,positive,apex,apex[+2],
this has so many capabilities that you ll always have room for new technologies as they evolve ,positive,player,player[+2],[p]
i use this with a home theater system and it s amazing how it sounds  the picture clarity is unmatched ,positive,"sound, clarity","sound[+3], clarity[+3]",
so much packed in a small case and very affordable ,positive,"case, price","case[+2], price[+2]",[u]
after two weeks the picture kept freezing ,negative,picture,picture[-3],[u]
apex sucks ,negative,apex,apex[-3],
unit worked great for 3 weeks then video output failed ,negative,player,player[-3],[u]
it s a compact  attractive machine and was easy to set up ,positive,"size, machine","size[+1], machine[+2]",
basic usage is easy  but the remote has a lot of buttons that i have nt used ,positive,usage,usage[+1],
so far  we ve only used this player a few times to watch movies and it has worked fine ,positive,player,player[+2],[p]
the picture is clear  bright and sharp and the sound is good ,positive,"picture, sound","picture[+2], sound[+2]",
the catch is that  while it plays movies just fine  it has refused to read second discs with the movie  extras  on them on the two occaisions when i tried to do that ,negative,"read, disc","read[-2], disc[-2]",
it works well enough  so far  for me to be satisfied with it  and it s possible that i m missing something ,positive,player,player[+1],[p]
i m giving this player cautious recommendation ,positive,player,player[+1],
there are a lot of things i like about it ,positive,player,player[+2],[p]
received apex dvd and the picture was great when set up with s connector ,positive,picture,picture[+2],
the remote is a little hard to understand ,negative,remote,remote[-1],
my jpeg pictures are viewable  not so sharp and vivid  on my 27  screen but seem not as clear as when i view them on my 17  monitor ,negative,picture,picture[-1],
so far the dvd works so i hope it does nt break down like the reviews i ve read ,positive,dvd,dvd[+1],
video output stopped workin ,negative,output,output[-3],
this was an awesome player  before the video output no longer worked  after about 3 weeks  ,negative,output,output[-3],
what a disappointment ,negative,player,player[-3],[u]
set up was easy and we enjoyed it for just over a week ,negative,"up, player","up[+1], player[-2]",
there was occasionally a lipsync issue  the lips were nt moving in time to the dialogue  ,negative,sync,sync[-1],
but after 10 days  the sound worked  but the video quit working ,negative,video,video[-2],
amazon was wonderful about picking it up the next day and paying for the return shipping ,positive,amazon,amazon[+3],
great feature list  poor reliability ,neutral,"feature, reliability","feature[+2], reliability[-2]",
output went black and white only via both svideo and composite connections  and with no vhold ,negative,output,output[-2],
retraction  said mine had silver plate  it does have display ,positive,display,display[+1],
it works great ,positive,player,player[+2],[p]
the unit seems to play all formats that i have put in it  jpeg  kodak pic s and dvdr  i have read other reviews and some good and soom not so good  but my feeling at this time is  two thumbs up  ,positive,"unit, format","unit[+3], format[+2]",
ps the remote control does seem to get confused at times and doesnt respond but it may be just operator error ,negative,remote,remote[-1],
what the hell is wrong with this thing ,negative,player,player[-3],[u]
forget about the sleek looks if it can t play some of your real dvds,negative,"play, dvd","play[-2], dvd[-2]",
well  within 45 days the video output quit working  both rca  optic  ,negative,output,output[-3],
the first one we installed did nt work  and our kids were devastated to say the least ,negative,player,player[-3],[p]
it seems to be working fine  but we ve not used it all that much ,positive,player,player[+1],[p]
update  january 27th 2004  the second one crapped out only after a week  dont buy this product ,negative,player,player[-3],
the player looked good right out of the box  offering lots of features and good styling ,positive,"look, feature","look[+2], feature[+2]",
i immediately had problems getting the player to recognize two of my favorite dvds ,negative,dvd,dvd[-3],
after multilple tries  one of the disks was finally recognized but video was poor and features not available ,negative,video,video[-2],
only one disk played through to completion successfully ,negative,disk,disk[-2],
when we tried to hook up the first one  it was broken  the motor would not eject discs or close the door ,negative,"player, motor, disc","player[-3], motor[-2], disc[-2]",[p]
when i tried to install the second dvd player in my brothers house  that one didn  t work either ,negative,player,player[-3],
imagine my shock  and absolute instant disdain for any products made by apex ,negative,apex,apex[-3],
the 2nd dvd player had a faulty power supply which caused to occasionally not turn on ,negative,supply,supply[-2],
the ad1600 did nt work corectly from the start and the ad1220 lasted about a week and a half before it started to act up ,negative,"1600, 1220","1600[-3], 1220[-2]",
amazon is awaesome ,positive,amazon,amazon[+3],
for the price  it s a very nice dvd player ,positive,player,player[+2],
the front door is miss aligned on my unit and you have to manually life it up just so slightly for the door to close  a very annoying thing after ahwile ,negative,door,door[-1],
it does play a wide range of formats as advertised which is very nice ,positive,format,format[+3],
and so far have not had any problems with dvds not being able to play ,positive,dvd,dvd[+1],
i only wanted something to play dvds on but this machine has all these other features that i probably will never use but it s nice to know that there re there ,positive,feature,feature[+1],
the machine is very light and slim and fits nicely into my tv stand ,positive,"size, weight","size[+2], weight[+2]",
i ve had no problems at all so far and i m very happy ,positive,player,player[+3],[u]
we tried the  finding nemo  dvd and when we got to  chapter 28  the frames started to freeze for no reason ,negative,dvd,dvd[-2],
i can t rate it one star only because when it does work it s pretty good ,negative,player,player[-2],
only owned it about two weeks so i expect we re looking at getting another progressive scan dvd player of higher quality very soon ,negative,player,player[-2],
the player kept displaying  no disc   so i tried the disc in another machine and sure as    ,negative,"player, disc","player[-2], disc[-2]",
besides the one problem  this machine is amazing ,positive,player,player[+2],
it plays everything  even vcd s ,positive,play,play[+3],[u]
i will never use all the  whistles and bells  this machine is capable of ,positive,player,player[+3],[p]
but for what i do use it is perfect ,positive,player,player[+3],[p]
1  frame freezes and the family yells   dad  somethings wrong with the dvd player  come quick  ,negative,"freeze, player","freeze[-2], player[-2]",
2  the remote works  but then it does not work  and you are left standing there thinking you are doing something wrong ,negative,remote,remote[-2],
5  this apex model 2600 will not work with my universal remote control ,negative,control,control[-2],
finally you will read a post somewhere that all codes are useless for the apex 2600 ,negative,code,code[-2],
one still works fine  the other quit after one day ,negative,player,player[-2],
owner s manual has substandard troubleshooting guide ,positive,manual,manual[+1],
apex s website is down and they wo nt answer their phone ,negative,service,service[-2],[u]
the dvd player is fine ,positive,player,player[+2],
of course  i was hesitant given the price  but i ve been extremely impressed since receiving it  and bought a second one as a christmas present for my parents ,positive,player,player[+3],[p]
the picture is perfect  although i m not watching on an hdtv ,positive,picture,picture[+3],
it seems to be a little slow when identifying a new disc that s inserted  maybe 10 seconds of wait ,negative,loading,loading[-2],[u]
but  dollar for dollar  this dvd player is probably the best out there ,positive,player,player[+3],
when i hooked it up it only produced sound  a cd played fine  but with a dvd i only got the audio  no picture ,negative,picture,picture[-3],
seemed like a good deal  but this pos frequently cannot recognize dvds and music cds  takes a long time loading and then concludes   no disc  ,negative,"dvd, cd, disc","dvd[-3], cd[-3], disc[-2]",
granted  i have only used this dvd player for about 2 hours setting it up for my mom for christmas  but that was long enough for me to find problems with this dvd player ,negative,player,player[-3],
first  the player did not allow me to access the menus of dvds ,negative,menu,menu[-2],
this is extemely lame ,negative,menu,menu[-3],[p]
the remote is flimsyfeeling and awkward to use ,negative,remote,remote[-3],
in addition  it only seems to work if you re about five feet away from the player  although that may have been just the batteries that came with it ,negative,remote,remote[-1],
the player does seem to play dvds adequately enough ,positive,dvd,dvd[+2],
after less than 24 hours it turned out to be a huge disappointment  for myself and for my parents  for whom it was a gift ,negative,player,player[-3],[u]
it played only one out of three dvd s without problems  the other two being afflicted by a number of glitches ,negative,dvd,dvd[-2],
both of the problem dvd s would repeatedly freeze during playback  while the counter on the player kept going ,negative,dvd,dvd[-2],
one also exhibited extremely slow speed when going to the menu ,negative,speed,speed[-3],
the dvd door would scratch the top of the disc every time it closed ,negative,door,door[-2],
there were a few attractive features  such as the small size and the layout of the remote ,positive,"size, layout","size[+1], layout[+1]",
all in all  trying to save some money on this player resulted in me shelling a great deal more when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift ,negative,player,player[-2],
i was impressed by this very inexpensive playerfor the first three hours  and then it died ,negative,player,player[-3],
i looked into buying an inexpensive dvd player that had more than the standard set of features and this item seemed to be the best in that category ,positive,player,player[+1],
i just hooked it up and everything seemed to be going fine ,positive,player,player[+1],[p]
there are a couple of quirks that were a bit annoying like having to actually press the power button before the tray will open  my prev machine did it automatically   and the fact that the external display is too small and too faded to read from any significant distance ,negative,"noise, display","noise[-1], display[-2]",
still  i was willing to overlook those things as this unit looks sleek and has a myriad of features ,positive,"look, feature","look[+2], feature[+2]",
i get to chapter 34 and everything freezes ,negative,freeze,freeze[-2],
i try navigating to a chapter past 34 via the menu and it would nt do it ,negative,player,player[-3],[p]
i try navigating using the player s built in menu  and it still would nt work ,negative,player,player[-3],[p]
unfortunately  the player would not read any of my region one dvds even though they were not damaged in any way ,negative,"dvd, read","dvd[-3], read[-2]",
i called apex s support number numerous times but it just kept ringing ,negative,support,support[-3],
this is probably one of the few dvd players at  40 that can play almost everything you throw at it ,positive,player,player[+3],
ability to play most discs  i tried dvd  vcd  dvdr  audio cd and it played all,positive,format,format[+2],
good looks,positive,look,look[+2],
the build quality shows why its so cheap  small scratches on the base plate  something that you would nt see on a sony and an overall plasticky feel,negative,quality,quality[-3],
remote buttons are small and closely spaced  especially with the menu buttons ,negative,button,button[-2],
this is wonderful to have for your first dvd player ,positive,player,player[+2],
i brought it for my sister in college and she loves it ,positive,player,player[+2],
apex is the best cheap quality brand for dvd players ,positive,apex,apex[+3],
also  very light and portable ,positive,weight,weight[+2],
the one i purchased for a frend as a gift will not read any dvd disc ,negative,"disc, read","disc[-3], read[-3]",
it will read and play all cd audio disc ,positive,"read, disc","read[+2], disc[+2]",
i have shopped with amazon before and have been very happy with their performance thus far ,positive,amazon,amazon[+3],
however  it has failed to deliver on quality ,negative,quality,quality[-2],
it does not only have difficulty playing jpegs  it even has trouble properly playing dvd movies ,negative,"jpeg, dvd","jpeg[-2], dvd[-2]",
on several different occasions it has displayed  no disc  with a disc inside ,negative,disc,disc[-2],
i read in consumer reports that apex is a reliable brand  but with my experience and reading the other reviews  i think i will be doing a little more homework before considering another apex product ,negative,apex,apex[-1],
the 2600 had false silver plate instead of play display ,negative,plate,plate[-2],
it plays original dvds and cds and plays mp3s and jpegs ,positive,"play, cd, mp3, jpeg","play[+2], cd[+2], mp3[+2], jpeg[+2]",
however  it does not play windows media and i can not get it to play any of my divx rips ,negative,"play, media, rip","play[-2], media[-2], rip[-2]",
also  it was only  3999  after rebate  with free shipping and no tax so overall it is a decent player ,positive,player,player[+2],
good quality video ,positive,quality,quality[+2],
